,cast,genres,movie_id,original_title,overview
304,"['Dwayne Johnson', 'Ian McShane', 'John Hurt']","['Action', 'Adventure']",184315,hercules,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become."
305,"['Joseph Gordon-Levitt', 'Brian Murray', 'David Hyde Pierce']","['Adventure', 'Animation', 'Family']",9016,treasure planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!"
306,"['Will Ferrell', 'Anna Friel', 'Danny McBride']","['Adventure', 'Comedy', 'Science Fiction']",18162,land of the lost,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures."
307,"['Sylvester Stallone', 'Jason Statham', 'Harrison Ford']","['Action', 'Adventure', 'Thriller']",138103,the expendables 3,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet."
308,"['Edgar Ramírez', 'Luke Bracey', 'Teresa Palmer']","['Action', 'Crime', 'Thriller']",257088,point break,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break""."
309,"['Jamie Kennedy', 'Alan Cumming', 'Traylor Howard']","['Fantasy', 'Comedy', 'Family']",10214,son of the mask,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be."
310,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy']","['Thriller', 'Drama', 'Adventure']",205775,in the heart of the sea,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melville’s Moby Dick.  But that told only half the story.  “Heart of the Sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down."
311,"['Eddie Murphy', 'Randy Quaid', 'Rosario Dawson']","['Action', 'Comedy', 'Science Fiction']",11692,the adventures of pluto nash,"The year is 2087, the setting is the moon. Pluto Nash, the high-flying successful owner of the hottest nightclub in the universe, finds himself in trouble when he refuses to sell his club to lunar gangster Mogan, who just happens to be helping the mysterious Rex Crater mastermind a plan to take over the entire moon."
312,"['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson']","['War', 'Action', 'Adventure']",22972,green zone,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors were dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission."
313,"['Noah Schnapp', 'Bill Melendez', 'Venus Schultheis']",['Animation'],227973,the peanuts movie,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home."
314,"['Steve Martin', 'Campbell Scott', 'Ben Gazzara']","['Crime', 'Drama', 'Mystery']",29193,the spanish prisoner,An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.
315,"['Brendan Fraser', 'Rachel Weisz', 'John Hannah']","['Adventure', 'Action', 'Fantasy']",1734,the mummy returns,"Rick and Evelyn O'Connell, along with their 8 year old son Alex, discover the key to the legendary Scorpion King's might, the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn't above kidnapping its new bearer, Alex, to gain control of Anubis' otherworldly army."
316,"['Leonardo DiCaprio', 'Daniel Day-Lewis', 'Cameron Diaz']","['Drama', 'History', 'Crime']",3131,gangs of new york,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area."
317,"['Christian Bale', 'Ni Ni', 'Tong Dawei']","['Drama', 'History', 'War']",76758,金陵十三釵,"A Westerner finds refuge with a group of women in a church during Japan's rape of Nanking in 1937. Posing as a priest, he attempts to lead the women to safety."
318,"['Shia LaBeouf', 'Jeff Bridges', 'Zooey Deschanel']","['Animation', 'Comedy', 'Family']",9408,surf's up,"Cody is a surfing penguin from Shiverpool who dreams of making it big and being like his idol Big Z. On his journey he discovers his talents are not all he thinks they are and he must learn to accept that their is more to surfing than fame and fortune.  Surf's Up is a 2007 American computer-animated mockumentary film produced by Sony Pictures Animation and distributed by Columbia Pictures and ImageWorks Studios. It stars the voices of Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder among others."
319,"['Nicole Kidman', 'Matthew Broderick', 'Bette Midler']","['Action', 'Comedy', 'Science Fiction']",9890,the stepford wives,"What does it take to become a Stepford wife, a woman perfect beyond belief? Ask the Stepford husbands, who've created this high-tech, terrifying little town."
320,"['Josh Hartnett', 'Ewan McGregor', 'Jason Isaacs']","['Action', 'History', 'War']",855,black hawk down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground."
321,"['Will Ferrell', 'Zach Galifianakis', 'Dylan McDermott']",['Comedy'],77953,the campaign,Two rival politicians compete to win an election to represent their small North Carolina congressional district in the United States House of Representatives.
322,"['Bruce Willis', 'Gary Oldman', 'Ian Holm']","['Adventure', 'Fantasy', 'Action']",18,the fifth element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity."
323,"['Sarah Jessica Parker', 'Kristin Davis', 'Cynthia Nixon']","['Comedy', 'Drama', 'Romance']",37786,sex and the city 2,"Carrie, Charlotte, and Miranda are all married now, but they're still up for a little fun in the sun. When Samantha gets the chance to visit one of the most extravagant vacation destinations on the planet and offers to bring them all along, they surmise that a women-only retreat may be the perfect excuse to eschew their responsibilities and remember what life was like before they decided to settle down."
324,"['Kenneth Branagh', 'Kevin Kline', 'Rosie Perez']","['Adventure', 'Animation', 'Comedy']",10501,the road to el dorado,"After a failed swindle, two con-men end up with a map to El Dorado, the fabled ""city of gold,"" and an unintended trip to the New World.  Much to their surprise, the map does lead the pair to the mythical city, where the startled inhabitants promptly begin to worship them as gods.  The only question is, do they take the worshipful natives for all they're worth, or is there a bit more to El Dorado than riches?"
325,"['John Leguizamo', 'Ray Romano', 'Chris Wedge']","['Animation', 'Comedy', 'Adventure']",57800,ice age: continental drift,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world."
326,"['Lily James', 'Cate Blanchett', 'Richard Madden']","['Romance', 'Fantasy', 'Family']",150689,cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods."
327,"['Rachel Weisz', 'Mark Wahlberg', 'Susan Sarandon']","['Fantasy', 'Drama']",7980,the lovely bones,"After being brutally murdered, 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives, she must balance her thirst for revenge with her desire for her family to heal."
328,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']","['Animation', 'Family']",12,finding nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way."
329,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']","['Adventure', 'Fantasy', 'Action']",122,the lord of the rings: the return of the king,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm."
330,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']","['Adventure', 'Fantasy', 'Action']",121,the lord of the rings: the two towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
331,"['Jeff Bridges', 'Julianne Moore', 'Ben Barnes']","['Adventure', 'Fantasy']",68737,seventh son,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?"
332,"['Angelina Jolie', 'Jon Voight', 'Iain Glen']","['Adventure', 'Fantasy', 'Action']",1995,lara croft: tomb raider,"English aristocrat Lara Croft is skilled in hand-to-hand combat and in the middle of a battle with a secret society. The shapely archaeologist moonlights as a tomb raider to recover lost antiquities and meets her match in the evil Powell, who's in search of a powerful relic."
333,"['Johnny Depp', 'Paul Bettany', 'Rebecca Hall']","['Thriller', 'Science Fiction', 'Drama']",157353,transcendence,"Two leading computer scientists work toward their goal of Technological Singularity,  as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain."
334,"['Sam Neill', 'William H. Macy', 'Téa Leoni']","['Adventure', 'Action', 'Thriller']",331,jurassic park iii,"In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them."
335,"['James Franco', 'Freida Pinto', 'John Lithgow']","['Thriller', 'Action', 'Drama']",61791,rise of the planet of the apes,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee."
336,"['Freddie Highmore', 'Mary-Louise Parker', 'Nick Nolte']","['Adventure', 'Family', 'Fantasy']",8204,the spiderwick chronicles,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures."
337,"['Bruce Willis', 'Jai Courtney', 'Sebastian Koch']","['Action', 'Thriller']",47964,a good day to die hard,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes."
338,"['Dennis Quaid', 'Billy Bob Thornton', 'Jason Patric']","['Western', 'History', 'War']",10733,the alamo,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas."
339,"['Craig T. Nelson', 'Holly Hunter', 'Samuel L. Jackson']","['Action', 'Adventure', 'Animation']",9806,the incredibles,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume."
340,"['Geena Davis', 'Matthew Modine', 'Frank Langella']","['Action', 'Adventure']",1408,cutthroat island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."
341,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario']","['Adventure', 'Fantasy', 'Family']",32657,percy jackson & the olympians: the lightning thief,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world."
342,"['Tommy Lee Jones', 'Will Smith', 'Linda Fiorentino']","['Action', 'Adventure', 'Comedy']",607,men in black,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black."
343,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']","['Animation', 'Comedy', 'Family']",863,toy story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong."
344,"['Denzel Washington', 'Chris Pine', 'Rosario Dawson']","['Action', 'Thriller']",44048,unstoppable,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania, and only two men can stop it: a veteran engineer and a young conductor. Thousands of lives hang in the balance as these ordinary heroes attempt to chase down one million tons of hurtling steel and prevent an epic disaster."
345,"['Chris Tucker', 'Jackie Chan', 'Zhang Ziyi']","['Action', 'Comedy', 'Crime']",5175,rush hour 2,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella."
346,"['Harrison Ford', 'Michelle Pfeiffer', 'Diana Scarwid']","['Drama', 'Horror', 'Mystery']",2655,what lies beneath,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on."
347,"['Bill Hader', 'Anna Faris', 'James Caan']","['Animation', 'Comedy', 'Family']",22794,cloudy with a chance of meatballs,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?"
348,"['Ray Romano', 'John Leguizamo', 'Denis Leary']","['Animation', 'Comedy', 'Family']",8355,ice age: dawn of the dinosaurs,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs."
349,"['Ben Stiller', 'Kristen Wiig', 'Patton Oswalt']","['Adventure', 'Comedy', 'Drama']",116745,the secret life of walter mitty,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.
350,"['Cameron Diaz', 'Lucy Liu', 'Drew Barrymore']","['Action', 'Adventure', 'Comedy']",4327,charlie's angels,"Aspects of this take on the 1970s hit TV series are similar to the original show :Angels Dylan, Natalie and Alex still work for Charlie and interface with Bosley. They still flip their hair, stop traffic with a smile and kick butt. The differences are the unsubtle humor, the martial arts training and the high-tech premise: This time, they're hot on the trail of stolen software."
351,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']","['Drama', 'Thriller', 'Crime']",1422,the departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them."
352,"['Eddie Murphy', 'Jackie Chan', 'Ming-Na Wen']","['Animation', 'Family', 'Adventure']",10674,mulan,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang."
353,"['Ben Stiller', 'Jack Black', 'Robert Downey Jr.']","['Action', 'Comedy']",7446,tropic thunder,"Vietnam veteran 'Four Leaf' Tayback's memoir, Tropic Thunder, is being made into a film, but Director Damien Cockburn can’t control the cast of prima donnas. Behind schedule and over budget, Cockburn is ordered by a studio executive to get filming back on track, or risk its cancellation. On Tayback's advice, Cockburn drops the actors into the middle of the jungle to film the remaining scenes but, unbeknownst to the actors and production, the group have been dropped in the middle of the Golden Triangle, the home of heroin-producing gangs."
354,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer']","['Thriller', 'Crime', 'Mystery']",65754,the girl with the dragon tattoo,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined."
355,"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']","['Action', 'Thriller']",1572,die hard: with a vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration."
356,"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams']","['Action', 'Adventure', 'Crime']",10528,sherlock holmes,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England."
357,"['Jack Huston', 'Toby Kebbell', 'Rodrigo Santoro']",['Drama'],271969,ben-hur,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.
358,"['Michael J. Fox', 'Corey Burton', 'Claudia Christian']","['Animation', 'Family', 'Adventure']",10865,atlantis: the lost empire,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea."
359,"['Jason Lee', 'Justin Long', 'Bella Thorne']","['Adventure', 'Animation', 'Comedy']",258509,alvin and the chipmunks: the road chip,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal."
360,"['Tom Cruise', 'Carice van Houten', 'Kenneth Branagh']","['Drama', 'Thriller', 'History']",2253,valkyrie,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer."
361,"['Adam Sandler', 'John Turturro', 'Emmanuelle Chriqui']","['Comedy', 'Action']",10661,you don't mess with the zohan,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.
362,"['Adam Sandler', 'Michelle Monaghan', 'Peter Dinklage']","['Action', 'Comedy', 'Science Fiction']",257344,pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.
363,"['Haley Joel Osment', ""Frances O'Connor"", 'Sam Robards']","['Drama', 'Science Fiction', 'Adventure']",644,a.i. artificial intelligence,"A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin."
364,"['Eddie Murphy', 'Terence Stamp', 'Nathaniel Parker']","['Thriller', 'Fantasy', 'Comedy']",10756,the haunted mansion,"Workaholic Jim Evers and his wife/business partner, Sara get a call one night from mansion owner, Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler takes them to dine with Gracey. Gracey takes one look at Sara and he thinks she's his lost lover."
365,"['Jodie Foster', 'Matthew McConaughey', 'James Woods']","['Drama', 'Science Fiction', 'Mystery']",686,contact,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality."
366,"['Kevin Bacon', 'Elisabeth Shue', 'Josh Brolin']","['Action', 'Science Fiction', 'Thriller']",9383,hollow man,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is – no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results."
367,"['Nicole Kidman', 'Sean Penn', 'Catherine Keener']","['Crime', 'Thriller']",179,the interpreter,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate."
368,"['Logan Lerman', 'Alexandra Daddario', 'Douglas Smith']","['Adventure', 'Family', 'Fantasy']",76285,percy jackson: sea of monsters,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising."
369,"['Angelina Jolie', 'Gerard Butler', 'Noah Taylor']","['Action', 'Adventure', 'Fantasy']",1996,lara croft tomb raider: the cradle of life,"Lara Croft ventures to an underwater temple in search of the mythological Pandora's Box but, after securing it, it is promptly stolen by the villainous leader of a Chinese crime syndicate. Lara must recover the box before the syndicate's evil mastermind uses it to construct a weapon of catastrophic capabilities."
370,"['Jesse Eisenberg', 'Woody Harrelson', 'Mark Ruffalo']","['Action', 'Adventure', 'Comedy']",291805,now you see me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet."
371,"['Val Kilmer', 'Elisabeth Shue', 'Rade Serbedzija']","['Thriller', 'Action', 'Romance']",10003,the saint,"Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow"
372,"['Robert Redford', 'Brad Pitt', 'Catherine McCormack']","['Action', 'Crime', 'Thriller']",1535,spy game,"Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protégé and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop."
373,"['Gary Sinise', 'Tim Robbins', 'Don Cheadle']",['Science Fiction'],2067,mission to mars,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate."
374,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann']","['Animation', 'Adventure', 'Comedy']",46195,rio,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda."
375,"['Robin Williams', 'Sam Neill', 'Embeth Davidtz']","['Comedy', 'Science Fiction']",2277,bicentennial man,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot."
376,"['Tommy Lee Jones', 'Anne Heche', 'Gaby Hoffmann']","['Science Fiction', 'Action', 'Drama']",10357,volcano,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, Mike Roark, working with geologist Amy Barnes, must then use every resource in the city to try and stop the volcano from consuming Los Angeles."
377,"['Harrison Ford', 'Brad Pitt', 'Margaret Colin']","['Crime', 'Thriller', 'Drama']",4477,the devil's own,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder."
378,"['Harrison Ford', 'Liam Neeson', 'Peter Sarsgaard']","['Drama', 'History', 'Thriller']",8665,k-19: the widowmaker,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster."
379,"['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow']","['Adventure', 'Fantasy', 'Action']",9387,conan the barbarian,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills."
380,"['Russell Crowe', 'Renée Zellweger', 'Paul Giamatti']","['Romance', 'Drama', 'History']",921,cinderella man,"The true story of boxer, Jim Braddock who, in the 1920’s after his retirement, has a surprise comeback in order to get him and his family out of a socially poor state."
381,"['Elle Fanning', 'Nathan Lane', 'John Turturro']","['Fantasy', 'Action', 'Family']",49852,the nutcracker: the untold story,"Set in 1920's Vienna, this a tale of a little girl, whose godfather gives her a special doll one Christmas Eve."
382,"['Jeff Bridges', 'David McCullough', 'Chris Cooper']","['Drama', 'History']",4464,seabiscuit,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.
383,"['Helen Hunt', 'Bill Paxton', 'Cary Elwes']","['Action', 'Adventure', 'Drama']",664,twister,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados."
384,"['Tom Hanks', 'Helen Hunt', 'Chris Noth']","['Adventure', 'Drama']",8358,cast away,"Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo."
385,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy']","['Animation', 'Comedy']",9836,happy feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
